,node,cCRE,fisher_stat,pval
8159,1641_n2494,CA,3.3007088670563363,8.804176697372314e-06
10998,134_n186,TF,3.2796352583586628,0.0480992083918259
14208,1171_n1262,CA-H3K4me3,3.2796352583586628,0.0480992083918259
11780,916_n1030,TF,3.2357723577235773,0.025831165315666267
11637,773_n2345,TF,3.2357723577235773,0.025831165315666267
2633,461_n1830,CA-CTCF,3.2357723577235773,0.025831165315666267
2657,485_n629,CA-CTCF,3.2086306489976213,0.01403690446645349
11142,278_n2662,TF,3.2086306489976213,0.01403690446645349
12778,1914_n1725,TF,3.2086306489976213,0.01403690446645349
11919,1055_n2220,TF,3.2086306489976213,0.01403690446645349
4015,1843_n703,CA-CTCF,3.2086306489976213,0.01403690446645349
11581,717_n535,TF,3.1910604732690624,0.007688531408454631
13413,376_n939,CA-H3K4me3,3.1794871794871793,0.004234506855152843
317,318_n2726,pELS,3.134471718249733,3.1404928970630622e-06
11255,391_n785,TF,3.0429009193054135,0.011945375800270957
12491,1627_n190,TF,3.0429009193054135,0.011945375800270957
2427,255_n928,CA-CTCF,3.0429009193054135,0.011945375800270957
10952,88_n2158,TF,3.0366598778004072,0.0218666199138021
12133,1269_n1706,TF,3.0366598778004072,0.0218666199138021
10884,20_n1395,TF,3.0366598778004072,0.0218666199138021
11905,1041_n562,TF,3.0366598778004072,0.0218666199138021
12069,1205_n2463,TF,3.0366598778004072,0.0218666199138021
11843,979_n2878,TF,3.0366598778004072,0.0218666199138021
11522,658_n2389,TF,3.030456852791878,0.04039420540480713
13795,758_n137,CA-H3K4me3,3.030456852791878,0.04039420540480713
14179,1142_n2024,CA-H3K4me3,3.030456852791878,0.04039420540480713
2895,723_n713,CA-CTCF,3.030456852791878,0.04039420540480713
3090,918_n698,CA-CTCF,3.030456852791878,0.04039420540480713
14588,1551_n849,CA-H3K4me3,3.030456852791878,0.04039420540480713
2712,540_n2045,CA-CTCF,3.030456852791878,0.04039420540480713
1720,1721_n905,pELS,3.011023387457173,0.0002949071577567191
8153,1635_n1537,CA,2.9722013523666417,0.0017117788868414527
3556,1384_n2631,CA-CTCF,2.939310974218572,0.005568831633779021
12976,2112_n353,TF,2.91914022517912,0.010090142697209375
11114,250_n1069,TF,2.91914022517912,0.010090142697209375
13755,718_n379,CA-H3K4me3,2.91914022517912,0.010090142697209375
10968,104_n1315,TF,2.8950437317784257,0.018369735856899883
1716,1717_n1417,pELS,2.8789144050104385,0.00038161199585704853
